??,?????603899.SH?,?????002959.SZ?,?????600872.SH?,?????002511.SZ?,????002695.SZ?,?????603719.SH?,?????002557.SZ?,?????300783.SZ?,?????603866.SH),?????002956.SZ?
2016-01," 3,888,967.80 "," 46,512,908.49 "," 289,734.74 "," 11,471,065.00 "," 1,026,754.11 "," 65,009,434.76 "," 14,621,424.00 "," 145,185,005.00 ",," 4,895,641.68 "
2016-02," 3,983,190.45 "," 30,841,997.66 "," 152,692.14 "," 7,999,038.67 "," 838,209.68 "," 18,305,288.42 "," 3,167,168.94 "," 23,786,328.20 ",," 1,011,038.61 "
2016-03," 6,395,686.99 "," 42,167,714.59 "," 228,973.45 "," 14,377,928.60 "," 536,719.74 "," 13,782,278.59 "," 4,041,073.85 "," 24,688,109.30 ",," 1,778,428.59 "
2016-04," 4,968,614.43 "," 32,795,375.19 "," 207,874.80 "," 7,701,460.19 "," 405,520.30 "," 12,376,698.70 "," 4,993,164.26 "," 25,036,368.92 ",," 1,305,881.85 "
2016-05," 6,566,980.86 "," 31,152,589.87 "," 220,956.36 "," 13,586,298.04 "," 580,470.85 "," 20,214,060.63 "," 4,658,511.88 "," 40,733,925.26 ",," 1,453,825.67 "
2016-06," 8,569,214.02 "," 37,344,969.62 "," 282,178.17 "," 22,960,052.47 "," 601,939.53 "," 25,060,619.79 "," 7,785,063.37 "," 58,033,904.08 ",," 3,702,526.81 "
2016-07," 7,131,432.67 "," 29,719,579.16 "," 146,074.31 "," 14,576,451.88 "," 485,289.67 "," 18,539,008.24 "," 4,788,736.43 "," 48,874,142.26 ",," 1,475,463.60 "
2016-08," 9,430,772.28 "," 31,142,466.69 "," 123,150.87 "," 14,907,551.27 "," 330,136.28 "," 33,340,635.83 "," 5,281,617.31 "," 52,133,732.27 ",," 1,149,121.86 "
2016-09," 11,088,238.05 "," 34,881,694.01 "," 170,409.93 "," 9,727,400.35 "," 434,545.47 "," 31,547,317.82 "," 5,563,860.99 "," 110,667,506.89 ",," 2,254,384.51 "
2016-10," 12,570,332.00 "," 44,820,596.50 "," 191,198.60 "," 7,039,961.22 "," 589,759.42 "," 27,007,934.73 "," 6,766,032.30 "," 81,430,547.15 ",," 2,008,006.64 "
2016-11," 17,850,507.19 "," 75,393,908.41 "," 263,344.66 "," 16,886,366.69 "," 1,895,977.95 "," 59,592,367.28 "," 9,121,545.82 "," 123,870,052.50 ",," 4,360,516.81 "
2016-12," 15,169,044.24 "," 72,087,273.72 "," 239,269.94 "," 14,752,332.77 "," 1,218,218.12 "," 45,277,351.65 "," 8,004,816.85 "," 167,441,111.30 ",," 2,558,598.42 "
2017-01," 8,951,076.86 "," 57,487,151.90 "," 258,845.36 "," 12,090,203.74 "," 694,361.41 "," 81,116,913.35 "," 13,180,473.77 "," 352,515,510.81 ",," 4,184,639.53 "
